Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Hawkes Bay District Health Board Library","Other","Health","Active","","HAM","Hawke's Bay Hospital, Omahu Road, Hastings","Private Bag 9014, , Hastings - 4156","","+64 6 878 8109","+64 6 878 1316","medlib@hawkesbaydhb.govt.nz","","","T","HealthLibs Network","Viv Kerr","Library Manager","viv.kerr@hawkesbaydhb.govt.nz","+64 6 878 1316","+64 6 878 8109 x 2705","Viv Kerr","Library Manager","viv.kerr@hawkesbaydhb.govt.nz","+64 6 878 8109 x 2705","","","","","","","T","T","T","Charter","T","16","16","14","14","Non-Charter Libraries $20. Will charge as charged where fees exceed our standard charge.","","31","31","31","31","Hastings","Hawkes Bay","-39.6119","176.7899",
"Hastings District Libraries","Public","public library","Active","","HAP","cnr Eastbourne & Warren Streets, , Hastings","Private Bag 9002, , Hastings - 4156","http://hastings.kotui.org.nz","+64 6 871 5180","+64 6 871 5181","paulam@hdc.govt.nz","No books purchased within last 6 months lent. No audio-visual material lent","","T","","Paula Murdoch","District Library Manager","paulam@hdc.govt.nz","+64 6 871 5181","+64 6 871 5182","Fiona Frost","Interloans Librarian","interloans@hdc.govt.nz","+64 6 871 5110 ext 5652","","","","","","","T","T","T","Charter","T","14","30","5","15","Urgent charges subject to negotiation","","20","45","10","30","Hastings","Hawkes Bay","-39.6442","176.8441",
"Flaxmere Public Library","Public","Public Library","Active","","HAPFL","Swansea Road, Flaxmere, Hastings","Private Bag 9002, Flaxmere, Hastings -","www.hastingslibrary.co.nz","+64 6 879 6792","+64 6 879 6798","paulam@hdc.govt.nz","All interloans handled by HAP","Hastings District Libraries - Flaxmere Public Library","F","","Paula Murdoch","District Library Manager","paulam@hdc.govt.nz","+64 6 879 6798","+64 6 879 6792","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Hastings","Hawkes Bay","-39.6262430049488","176.788753230997",
"Havelock North Public Library","Public","Public Library","Active","","HAPHN","Te Mata Road, , Havelock North","PO Box 8491, , Havelock North -","www.hastingslibrary.co.nz","+64 6 877 7878","+64 6 877 7959","paulam@hdc.govt.nz","All interloans handled by HAP","Hastings District Libraries - Havelock North Library","F","","Paula Murdoch","District Library Manager","paulam@hdc.govt.nz","+64 6 877 7959","+64 6 877 7878","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Havelock North","Hawkes Bay","-39.6685666305382","176.881685090105",
"The Shepherd's Bible College","","Prospect","Active","","HASB","354 Te Aute Road, RD 2, , Hastings","PO Box 8229, , Havelock North - 4157","www.tsbc.org.nz/library","+64 6 873 0054","+64 6 877 7545","library@tsbc.org.nz","","","","","Rachel Black","","library@tsbc.org.nz","+64 6 877 7545","+64 6 873 0054","0","","","","","","","","","","","","","","","","","","","","","","","","","Hastings","Hawkes Bay","","",
"National Library of New Zealand, Napier Service Centre","Other","National Library","Active","Te Puna Matauranga o Aotearoa","HASL","Ruawharo Centre, EIT Hawkes' Bay, Napier","PO Box 4140, , Napier - 4140","","+64 6 845 2500","+64 6 845 2503","","Collection dispersed. For interloan service see PN. Advisory Centre Only","","F","","Diana Cram","Library Manager","diana.cram@natlib.govt.nz","+64 6 845 2503","+64 6 845 2500","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Napier","Hawkes Bay","-39.4826801234384","176.917811332019",
"Hauraki District Libraries","Public","public library","Active","","HAUP","Hauraki House, Corner Belmont & William Street, Paeroa","PO Box 17, , Paeroa - 3640","http://library.hauraki-dc.govt.nz/","+64 7 862 7194","+64 7 862 8607","libraries@hauraki-dc.govt.nz","","","T","","Lesley Young","Collection Services Librarian","lesley@hauraki-dc.govt.nz","+64 7 862 8607","+64 7 862 7194","Lesley Young","Collection Services Librarian","interloans@hauraki-dc.govt.nz","+64 7 862 7194","","","","","","","T","T","T","Charter","T","14","14","14","14","","","20","20","20","20","Paeroa","Waikato","","",
"Central Hawkes Bay District Libraries","Public","Public Library","Active","","HAWP","Kitchener St, , Waipukurau","Central Hawkes Bay District Council, P O Box 127, Waipawa - 4240","www.chbdc.govt.nz/libraries","+64 6 857 8123","+64 6 857 8103","sharon.tristram@chbdc.govt.nz","Interloans for Waipawa Branch can be couriered direct to High St, Waipawa 4210","Waipukurau Library; Waipawa Library","T","PubSIG","Sue Fargher","District Librarian","sue.fargher@chbdc.govt.nz","+64 6 857 8103","+64 6 857 8123","Sharon Tristram","Librarian","sharon.tristram@chbdc.govt.nz","+64 6  857 8123","","","","","","","T","T","T","Charter","T","","14","","14","","","","14","","14","Waipukurau","","-39.9953043008705","176.552879155769",
"CHB Settlers Museum","Other","Prospect","Active","","HAWPM","23 High Street, , Waipawa","23 High Street, , Waipawa -","","+64 6 857 7288","","","All other details TBA","Waipukurau Public Library - CHB Settlers Museum","","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Waipawa","Hawkes Bay","","",
"Cantando Choir","Other","Music Hire","Active","","HC","21 Moreland Ave, Pukete, Hamilton","PO Box 1534, Waikato Mail Centre, Hamilton - 3240","","+64 7 843 2555","","lizgilling@xtra.co.nz","Other main number: 07 849 9093","","","","HC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Hamilton","Waikato","","",
"Hamilton Civic Choir","Other","Music Hire","Active","","HCC","43 Tui Road, , Te Aroha","PO Box 824, , Hamilton - 3240","http://hamiltoncivicchoir.org.nz","+64 7 827 5738","+64 7 858 3601","hamilton.choir@ihug.co.nz","Secretary: Sue Hill, 27 Alpha Street Cambridge","","","","HCC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Te Aroha","","","",
"LIC Library","Other","Research","Active","","HDAF","cnr Morrinsville & Ruakura Roads, , Hamilton","Private Bag 3016, , Hamilton - 3240","www.lic.co.nz","+64 7 856 0882","+64 7 858 2741","vbennett@lic.co.nz","","Livestock Improvement Library","T","SLIS NORTH","Vivienne Bennett","Library Manager","vbennett@lic.co.nz","+64 7 858 2741","+64 7 856 0882","Vivienne Bennett","Interloans Manager","vbennett@lic.co.nz","+64 7 856 0882","","","","","","","T","T","T","Charter","T","14","14","14","14","No charges to other free libraries.","","14","14","14","14","Hamilton","Waikato","-37.78285","175.351281",
"Westland District Library","Public","Public Library","Active","","HKP","20 Sewell Street, , Hokitika","Private Bag 704, , Hokitika - 7842","http://westlib.co.nz/","+64 3 755-6208","+64 3 755 6209","library@westlib.co.nz","","","T","PL-SIG or PUB-SIG (Public Libraries Special Intere","Sarah Thompson","District Librarian","sarah.thompson@westlib.co.nz","+64 3 755 6209","+64 3 755-6208","Shona Winter","Deputy District Librarian","shona.winter@westlib.co.nz","+64 3 755-6208","","","","","","","T","T","T","Charter","T","15","30","5","30","No charge to South Island or Level 3 Public libraries.","","15","40","5","40","Hokitika","West Coast","-42.7171660232575","170.961886956484",
"Waikato District Health Board Library","Other","Health","Active","","HM","Pembroke Street, , Hamilton","Private Bag 3200, , Hamilton - 3240","www.waikatodhb.govt.nz/library","+64 7 839 8880","+64 7 839 8897","library@waikatodhb.health.nz","","","T","HealthLibs Network","Lynda Pryor","Library Manager","lynda.pryor@waikatodhb.health.nz","+64 7 839 8897","+64 7 839 8880","Angela Broring","Team Leader Reference","interloans@waikatodhb.health.nz","+64 7 839 8880","","","","","","","T","T","T","Charter","T","15","25","15","20","No charge to Hamilton libraries.","","30","45","30","45","Hamilton","Waikato","-37.8043193968736","175.28099792566",
"Waikato Museum of Art and History Library","Other","Museum","Active","Te Whare Taonga o Waikato","HMU","Cnr Victoria and Grantham Sts, , Hamilton","Private Bag 3010, , Hamilton -","","+64 7 838 6570","+64 7 838 6571","museum@hcc.govt.nz","Deals through HP. Non-lender. All interloans through HP","","F","ARLIS-ANZ","Faye Clark","Director Libraries","faye.clark@hcc.govt.nz","","+64 7 838 6856","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Hamilton","Waikato","","",
"National Library of New Zealand - Hamilton Service Centre","Other","National Library","Active","","HN","The Homestead, c/ The Store, AgResearch, Ruakura Research Centre, East Street, Hamilton","Private Bag 3084, , Hamilton -","","+64 7 856 9135","+64 7 856 7141","gail.cochrane@natlib.govt.nz","Interloans through ASL","","F","","Gail Cochrane","Centre Manager","gail.cochrane@natlib.govt.nz","","","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Hamilton","Waikato","-37.7766","175.293994865778",
"Hamilton City Libraries","Public","Public Library","Active","Te Whare Pukapuka o Kirikiriroa","HP","9 Garden Place, , Hamilton","PO Box 933, , Hamilton - 3240","www.hamiltonlibraries.co.nz","+64 7 838 6826","+64 7 838 6858","interloans@hcc.govt.nz","","","T","","Su Scott","Director of Libraries","su.scott@hcc.govt.nz","+64 7 838 6858","+64 7 838 6841","Carol Bond","Interloans Librarian","carol.bond@hcc.govt.nz","+64 7 838 6851","","","","","","","T","T","T","Charter","T","15","15","15","15","IBS Library","","35","35","35","35","Hamilton","Waikato","-37.7876","175.282310577044",
"Waikato Institute of Technology Library","Tertiary","Polytechnic","Active","Te Kuratini o Waikato","HPY","Gate 4 (Main Store), Tristram Street, Hamilton","Private Bag 3036, , Hamilton - 3240","www.wintec.ac.nz","+64 7 834 8866","+64 7 838 8257","interloan.service@wintec.ac.nz","","","T","","Sarah-Jane Saravani","Library Manager","Sarah-Jane.Saravani@wintec.ac.nz","","+64 7 834 8866 x 8527","0","Interloans Librarian","lbils@wintec.ac.nz","+64 7 834 8866 x 8741","","","","","","","T","T","T","Charter","T","14","14","14","14","Manual libraries standard charge copy/loan: $20. Charge if charged.","","20","34","20","34","Hamilton","Waikato","-37.7829","175.2726",
"Rotokauri Campus of WinTec Library","Tertiary","Polytechnic","Active","","HPYA","Avalon Drive, , Hamilton","Rotokauri (Avalon), Private bag 3036, Hamilton - 3240","www.wintec.ac.nz/library","+64 7 834 8800 x 8030","+64 7 858 0211","avalon.library@wintec.ac.nz","From 7/7/11 Avalon campus of Wintec, has been renamed Rotokauri Campus.","WINTEC Rotokauri (Avalon) Library","T","","Malcolm Hinton","Rotokauri (Avalon) Campus Librarian","malcolm.hinton@wintec.ac.nz","+64 7 858 0211","+64 7 834 8800 x 8030","Malcolm Hinton","Rotokauri Library : Interloans","avalon.library@wintec.ac.nz","+64 7 834 8800 x 8030","","","","","","","T","T","T","Charter","T","14","14","14","14","","","20","34","20","34","Hamilton","Waikato","-37.7511","175.2362",
"Waikato Regional Council Library","Other","local government","Active","","HRG","401 Grey Street, , Hamilton East","Private Bag 3038, Waikato Mail Centre, Hamilton - 3240","www.waikatoregion.govt.nz","+64 7 859 0776 / 0511","+64 7 856 0551","library@waikatoregion.govt.nz","","","T","","Gina Krystman","Librarian (with Jennifer McHardy)","library@waikatoregion.govt.nz","","+64 7 859 0511 / 859 0776","Jennifer McHardy","Interloans Contact (with Gina Krystman)","library@waikatoregion.govt.nz","+64 7 859 0776 / 0511","","","","","","","T","T","T","Charter","T","14","14","14","14","","","20","34","20","34","Hamilton East","","-37.7922996941291","175.292986260453",
"Te Wananga o Aotearoa","Tertiary","Tertiary","Active","","HTWA","510 Te Rapa Road, , Hamilton","PO Box 1409, Waikato Mail Centre, Hamilton - 3240","www.twoa.ac.nz","0800 11 55 33","","interloans@twoa.ac.nz","","Wananga o Aotearoa","T","","Greg  Marshall","National Manager, Library Information Services","greg.marshall@twoa.ac.nz","","+64 7 850  3260","Freda Rawiri","Interloans librarian","interloans@twoa.ac.nz","+64 7 850 3263  398 7913","","","","","","","T","T","T","Charter","T","15","15","15","15","","","20","20","20","20","Hamilton","Waikato","-37.8233509228319","175.29047264721",
"University of Waikato, Central  Library","Tertiary","University","Active","Te Whare Pukapuka Matua o Te Whare Wananga o Waikato","HU","21 Ruakura Road, , Hamilton","Private Bag 3105, , Hamilton - 3240","www.waikato.ac.nz/library","+64 7 838 4111","+64 7 838 4017","libraryadmin@waikato.ac.nz","","University of Waikato, Central Library","T","CONZUL","Ross Hallett","University Librarian","libraryadmin@waikato.ac.nz","+64 7 838 4017","+64 7 838 4111","Trisha Kruyff","Interlibrary Services Coordinator (Interloans)","interloan@waikato.ac.nz","+64 7 838 4466 x 6514","","","","","","","T","T","T","Charter","T","14","14","14","14","$14 charge for requests via Te Puna only. $20 charge for all non-Te Puna requests. Urgent book requests by phone/fax before 2pm.","","34","34","34","34","Hamilton","Waikato","-37.7881","175.3188",
"Vision Leadership Library","Other","Tertiary","Active","","HVLC","21 Ruakura Road, , Hamilton","21 Ruakura Road, , Hamilton - 3216","www.atc.org.nz","+64 7 853 0222","+64 7 852 0223","vicki.j@atc.org.nz","","","F","","Vicki Jones","Information Resource Centre Co-ordinator","vicki.j@atc.org.nz","+64 7 852 0223","+64 7 853 0777 x 832","Vicki Jones","Information Resource Centre Co-ordinator","vicki.j@atc.org.nz","+64 7 853 0222 x 832","","","","","","","F","F","F","tba","F","","","","","","","","","","","Hamilton","Waikato","-37.7815078885551","175.315198838098",
"WEL Networks Information Centre","Other","Business","Pending","","HWEL","114 Maui St, Te Rapa, Hamilton","PO Box 925, , Hamilton -","http://www.wel.co.nz/","+64 7 850 3100","+64 7 850 3210","library@wel.co.nz","","","F","","Vicky Costain","Risk and Regulatory Manager","Vicky.costain@wel.co.nz","","+64 7 850 3121","Vicky Costain","Risk and Regulatory Manager","Vicky.costain@wel.co.nz","+64 7 850 3121","","","","","","","F","F","F","tba","F","0","","0","","","","","","","","Hamilton","Waikato","-37.782694219215","175.278837361103",
"South Taranaki District Libraries C/- Hawera Public Library Plus","Public","Public Library","Active","","HWP","46 High Street, , Hawera","Private Bag 902, , Hawera - 4640","http://www.southtaranaki.com/Live/LibraryPlus/","0800 111 323","+64 6 278 9407","hawera@stdc.govt.nz","","","T","PubSIG ; LIANZA","Lynne Walker","District Librarian","lynne.walker@stdc.govt.nz","+64 6 278 9407","","Kaye Lally","Interloans Contact","kaye.lally@stdc.govt.nz","0800 111 323","","","","","","","T","T","T","Charter","T","14","20","14","20","Reciprocals welcome","","25","30","25","30","Hawera","Taranaki","-39.5895914038127","174.284831884639",
"Invercargill City Libraries","Public","Public Library","Active","","IP","50 Dee Street, , Invercargill","Private Bag 90 111, , Invercargill - 9840","www.ilibrary.co.nz","+64 3 211 1444","+64 3 211 1438","reception@ilibrary.co.nz","","","T","","Marianne Foster","Manager - Library and Archives","marianne.foster@ilibrary.co.nz","+64 3 211 1438","+64 3 211 1772","Vanessa McFadzien","Interloans Contact","interloans@ilibrary.co.nz","+64 3 211 1771","","","","","","","T","T","T","Charter","T","14","25","14","14","Free to Otago/Southland libraries.","","14","25","14","14","Invercargill","Southland","-46.4113132938864","168.347345389548",
"Southern Institute of Technology Library","Tertiary","Polytechnic","Active","","IPY","133 Tay Street, , Invercargill","Private Bag 90114, , Invercargill - 9810","http://www.sit.ac.nz/Library","+64 3 2112699 ext 8836","+64 3 2144977","library@sit.ac.nz","","","T","HealthLibs Network","Jenny Johnson","Library Manager","jenny.johnson@sit.ac.nz","","+64 3 2112615 ext 8615","Interloans Contact","Interloans Contact","library@sit.ac.nz","+64 3 2112699 ext 8836","","","","","","","T","T","T","Charter","T","14","20","14","20","Free Otago/Southland and Polytechnic libraries.","","25","45","25","45","Invercargill","Southland","-46.4130199140425","168.355257047743",
